player, bat_average, hit, homerun, RBI
최형우,140,185,28,115
손아섭,141,190,11,85
로하스,142,192,47,135
박민우,126,161,8,63
페르난데스,144,199,21,105
이정후,140,181,15,101
허경민,117,145,7,58
김현수,142,181,22,119
강백호,129,165,23,89
양의지,130,151,33,124
나성범,130,170,34,112
황재균,134,169,21,97
김동엽,115,129,20,74
오재일,127,147,16,89
구자욱,118,137,15,78
최주환,140,156,16,88
터커,142,166,32,113
박석민,123,109,14,63
이명기,136,146,2,45
김하성,138,163,30,109
김상수,120,123,5,47
박건우,129,148,14,70
오지환,141,158,10,71
정수빈,141,146,5,59
조용호,132,121,0,32
정훈,111,121,11,58
채은성,109,122,15,88
이대호,144,158,20,110
나지완,137,136,17,92
박해민,132,142,11,55
