Text,Feeling,Talking,book_id,sentence_id
 토끼 굴속으로앨리스는 언니 옆에 앉아 할일 없이 강둑에 앉아있는 게 지루해지기 시작했어요,1,0,2001,1
그러다 한두 번 언니가 읽고 있는 책에 눈길을 주기도 했지만 그림이나 대화 하나 없는 책이지 뭐예요,1,0,2001,2
"‘그림도 대화도 없는데,’라고 앨리스는 생각했어요",1,0,2001,3
 ‘이런 책을 어따 쓴담?’그리하여 늘 그러하듯 앨리스는 자기만의 생각 속으로 빠져들었지요,1,0,2001,4
" 왜 있잖아요, 덥다 보면 잠도 밀려오고 약간 멍청해지는 그런 기분 말이에요",1,0,2001,5
" ‘그래 데이지 화환을 만들면 어떨까, 일어나 데이지만 주우면 되잖아",1,0,2001,6
’그때 분홍색 눈을 지닌 흰색 토끼 한 마리가 손살같이 그녀 옆을 지나쳐갔지 뭐예요,2,0,2001,7
"그게 놀랄 일은 아니었어요, 또한 그 토끼가 ",2,0,2001,8
*이런! 이런! 늦겠는 걸*,2,1,2001,9
라고 말하는 걸 들은 것도 하나도 놀랍진 않았어요,2,0,2001,10
 하긴 그녀도 나중에 다시 생각해보니 좀 기이하긴 했었네요,2,0,2001,11
 하지만 그땐 모든 게 자연스럽게 받아들여졌답니다,2,0,2001,12
토끼는 자신의 조끼 호주머니에서 시계를 꺼내 보더니 더 서둘러 달려갔어요,2,0,2001,13
앨리스도 뒤따랐어요,2,0,2001,14
 왜냐면 문득 ‘그래 난 예전에 한 번도 조끼를 입거나 호주머니에서 시계를 꺼내 보는 토끼를 본 적이 없어,2,0,2001,15
’라는 생각이 들면서 호기심이 사뭇 일었기 때문이죠,2,0,2001,16
"그녀는 토끼를 따라 들판을 뛰었어요, 그러다 우연히 산울타리 밑에 크게 나 있던 토끼 굴 속으로 그 토끼가 쏙 들어가버리는 걸 보았어요",2,0,2001,17
뒤이어 앨리스도 거기로 뒤따라 들어갔답니다,2,0,2001,18
어떻게 빠져나오지 하는 생각일랑은 안 들었거든요,2,0,2001,19
한동안은 터널 같은 토끼굴이 곧장 이어져 있었어요,2,0,2001,20
 그러다 뚝 하고 떨어졌지요,2,0,2001,21
 그래도 머지않아 아주 깊은 우물 바닥으로 떨어질 거 같단 생각은 앨리스도 들었답니다,2,0,2001,22
