Text,Feeling,Talking,book_id,sentence_id
" 개구리 왕자옛날 옛적에 소망을 이루어 주는 힘이 여전히 통했던 때에, 딸들이 모두 예쁜 왕이 한 분 살고 계셨어요",1,0,40001,1
"특히나 막내공주님이 아주 예뻤는데요, 어찌나 아름다운지, 해도 그녀의 얼굴에 햇볕을 비출 때마다 감탄을 하곤 하였더랬죠",1,0,40001,2
왕의 성은 울창한 숲에 둘러싸여 있었어요,1,0,40001,3
숲에 있는 나이 많은 라임 나무 아래에 우물이 하나 있었어요,1,0,40001,4
"화창한 날에, 막내공주님께서 숲으로 놀러 나와 시원한 분수 옆에 앉았어요",1,0,40001,5
그녀는 따분할 땐 황금 공을 가져와 높이 던졌다가 다시 잡곤 했지요,1,0,40001,6
황금 공놀이는 그녀가 가장 좋아하는 놀이었어요,1,0,40001,7
 그러다 우연히 공주의 작은 손으로 떠받치고 있던 황금 공이 바닥으로 떨어져 곧장 우물 속으로 굴러 들어갔지 뭐예요,2,0,40001,8
공주님이 다급히 눈으론 공을 쫓았지만 허사였어요,2,0,40001,9
우물은 꽤 깊었어요,2,0,40001,10
 바닥이 보이지 않을 정도로요,2,0,40001,11
이 일로 공주님이 울기 시작했어요,4,0,40001,12
 소리 내 울고 더 크게 소리 내 울었어요,4,0,40001,13
 마음의 안정을 찾을 수가 없었어요,4,0,40001,14
그렇게 눈물을 글썽이고 있는데 누군가가 그녀에게 이렇게 말하는 거예요,4,0,40001,15
"*누가 널 괴롭히니, 공주야? 네 모습을 보고 돌도 눈물을 뚝뚝 흘리겠다*",4,1,40001,16
"공주가 목소리가 들려온 쪽을 돌아보니 이게 뭔가요, 세상에나 똥똥하고 못생긴 개구리 한 마리가 물 위로 고개를 쭉 내밀고 있지 뭐예요",4,0,40001,17
*아아! 넌 헤엄을 치지*,5,1,40001,18
라며 공주가 말했어요,0,0,40001,19
*우물로 떨어진 내 황금 공 때문에 울고 있었던 거야*,5,1,40001,20
"*울지 말고, 뚝*",5,1,40001,21
라며 개구리가 대답했어요,0,0,40001,22
"*내가 널 도울 수 있겠는데, 그렇지만 내가 네 공을 다시 주워주면 넌 내게 무얼 보답으로 줄래*",5,1,40001,23
"*네가 가지고 싶은 건 다, 착한 개구리야*",5,1,40001,24
라며 공주가 말했어요… ,0,0,40001,25
"*내 옷이나, 내 진주나 보석, 아님 내가 지금 쓰고 있는 황금 ‘관’도 네가 원하면 줄게*",5,1,40001,26
개구리가 대답했어요,0,0,40001,27
"*난 네 옷, 진주, 보석이나 황금 관엔 관심 없어",5,1,40001,28
 날 좋아해주고 네 친구로 삼아죠 놀이 친구 말이야,5,1,40001,29
" 그리고 네 예쁜 식사 테이블 옆에 앉혀주고, 네 예쁜 황금접시에서 식사를 하게 해주고, 네 예쁜 컵으로 마실 수 있게 해줘, 그리고 네 예쁜 침대에서 재워져… 만약 내가 이걸 약속해준다면 내가 아래로 내려가 네 황금 공을 가지고 올라올게*",5,1,40001,30
*응 그래*,5,1,40001,31
라며 공주가 말했어요,0,0,40001,32
"*만약 내 공만 다시 가져다준다면, 네가 원하는 것들을 다 들어줄게*",2,1,40001,33
하지만 공주는 속으론 생각했어요,2,0,40001,34
"‘흥 놀고 있네, 개구리 주제에! 넌 그냥 다른 개구리들처럼 개골개골 울며 물에서나 살아",2,0,40001,35
 네까짓 게 어떻게 인간의 친구가 될 수 있단 말이니!’어째든 개구리는 이런 약속을 받고서 고개를 물속으로 넣곤 잠수를 했어요,2,0,40001,36
잠시 후 개구리가 한 입 가득 공을 물고서 물 위로 올라왔어요,2,0,40001,37
개구리가 잔디밭 위로 공을 던졌어요,2,0,40001,38
자신의 예쁜 놀이 공을 한 번 더 보자 공주는 뛸 듯이 기뻤어요,2,0,40001,39
 그래서 공을 줍곤 잽싸게 도망가 버렸어요,2,0,40001,40
"*기다려, 기다려*",2,1,40001,41
라며 개구리가 말했어요,0,0,40001,42
*나를 데리고 가야지,2,1,40001,43
 난 너처럼 달릴 수 없다구*,2,1,40001,44
