Text,Feeling,Talking,book_id,sentence_id
쥐를 친구로 된 어떤 고양이가 살고 있었다.,1,0,2003,1
고양이는 자신이 쥐에 대해 사랑과 우정을 느낀다고 말하였다.,1,0,2003,2
결국 쥐도 그들이 함께 사는 것에 동의하였다.,1,0,2003,3
"“하지만 우린 겨울 식량을 준비해야해, 그렇지 않음 굶주릴 테니까.",2,1,2003,4
라고 고양이가 말을 했다.,2,0,2003,5
“그리고 너 쥐는 특히 더 조심해야해.,2,1,2003,6
" 사방에 위험투성이라, 어느 날 쥐덫에 걸릴지도 모를 일이니까.",2,0,2003,7
쥐는 고양이의 좋은 충고를 따라 돼지비계가 가득 든 항아리를 준비했다.,2,0,2003,8
하지만 과연 이걸 어디다 보관할지 그들은 몰랐다.,2,0,2003,9
결국 오랜 숙고 끝에 고양이가 말했어요.,0,0,2003,10
“교회만한 곳이 없지.,2,1,2003,11
 거긴 두면 아무도 훔쳐갈 생각을 못할 거 아냐.,2,0,2003,12
 성찬대 밑에 두자 그리고 정말 필요한 때가 올 때까진 손대지 말자.,2,0,2003,13
그래서 항아리는 안전하게 교회 성찬대 밑에 보관되었습니다.,2,0,2003,14
그런데 오래지 않아 고양이는 그게 너무 입에 대고 싶은 거예요.,2,0,2003,15
그래서 쥐에게 말했어요.,0,0,2003,16
"“생쥐야, 네게 할 중요한 말이 있어.",3,1,2003,17
 내 사촌의 아기가 이번에 세례를 받는데 나보고 대모를 맡아 달라네.,3,0,2003,18
" 왜 있지, 갈색 점들이 숭숭 박혀 있는 흰 고양이 말이야.",3,0,2003,19
 세례용 물을 담은 큰 그릇 위로 내가 아기를 붙잡아주기로 했거든.,3,0,2003,20
" 그럼 나는 가 볼테니, 넌 집 잘 지키고 있으렴.",3,0,2003,21
"“그래, 그래,”",3,1,2003,22
라며 쥐가 대답했어요.,3,0,2003,23
"“좋고 말고, 가서 맛난 거 먹거든 내 생각이나 해줘, 캬~ 나도 세례식에서 사용하는 달콤한 레드와인 한 모금 마셔봤음 소원이 없겠다.",3,1,2003,24
하지만 그건 모두 거짓말이었어요.,3,0,2003,25
고양이에겐 사촌이 한 명도 없었거든요.,3,0,2003,26
